GetContextThread,2
GetCurrentProcessorNumber,0
GetDevicePowerState,2
GetPlugPlayEvent,4
GetWriteWatch,7
ImpersonateAnonymousToken,1
ImpersonateThread,3
InitializeRegistry,1
InitiatePowerAction,4
IsSystemResumeAutomatic,0
ListenPort,2
LoadDriver,1
LoadKey,2
LoadKey2,3
LoadKeyEx,4
LockFile,10
LockProductActivationKeys,2
LockRegistryKey,1
LockVirtualMemory,4
MakePermanentObject,1
MakeTemporaryObject,1
MapUserPhysicalPages,3
ModifyBootEntry,1
ModifyDriverEntry,1
NotifyChangeDirectoryFile,9
NotifyChangeKey,10
NotifyChangeMultipleKeys,12
OpenEventPair,3
OpenIoCompletion,3
OpenJobObject,3
OpenKeyedEvent,3
OpenMutant,3
OpenObjectAuditAlarm,12
OpenProcessToken,3
OpenSemaphore,3
OpenSymbolicLinkObject,3
OpenThread,4
OpenTimer,3
PlugPlayControl,3
PrivilegeCheck,3
PrivilegeObjectAuditAlarm,6
PrivilegedServiceAuditAlarm,5
PulseEvent,2
QueryBootEntryOrder,2
QueryBootOptions,2
QueryDebugFilterState,2
QueryDirectoryObject,7
QueryDriverEntryOrder,2
QueryEaFile,9
QueryFullAttributesFile,2
QueryInformationAtom,5
QueryInformationJobObject,5
QueryInformationPort,5
QueryInstallUILanguage,1
QueryIntervalProfile,2
QueryIoCompletion,5
QueryMultipleValueKey,6
QueryMutant,5
QueryOpenSubKeys,2
QueryOpenSubKeysEx,4
QueryPortInformationProcess,0
QueryQuotaInformationFile,9
QuerySecurityObject,5
QuerySemaphore,5
QuerySymbolicLinkObject,3
QuerySystemEnvironmentValue,4
QuerySystemEnvironmentValueEx,5
QueryTimerResolution,3
RaiseException,3
RaiseHardError,6
RegisterThreadTerminatePort,1
ReleaseKeyedEvent,4
RemoveProcessDebug,2
RenameKey,2
ReplaceKey,3
ReplyWaitReplyPort,2
RequestDeviceWakeup,1
RequestPort,2
RequestWakeupLatency,1
ResetEvent,2
ResetWriteWatch,3
RestoreKey,3
ResumeProcess,1
SaveKey,2
SaveKeyEx,3
SaveMergedKeys,3
SecureConnectPort,9
SetBootEntryOrder,2
SetBootOptions,2
SetContextThread,2
SetDebugFilterState,3
SetDefaultHardErrorPort,1
SetDefaultLocale,2
SetDefaultUILanguage,1
SetDriverEntryOrder,2
SetEaFile,4
SetHighEventPair,1
SetHighWaitLowEventPair,1
SetInformationDebugObject,5
SetInformationJobObject,4
SetInformationKey,4
SetInformationToken,4
SetIntervalProfile,2
SetIoCompletion,5
SetLdtEntries,6
SetLowEventPair,1
SetLowWaitHighEventPair,1
SetQuotaInformationFile,4
SetSecurityObject,3
SetSystemEnvironmentValue,2
SetSystemEnvironmentValueEx,5
SetSystemInformation,3
SetSystemPowerState,3
SetSystemTime,2
SetThreadExecutionState,2
SetTimerResolution,3
SetUuidSeed,1
SetVolumeInformationFile,5
ShutdownSystem,1
SignalAndWaitForSingleObject,4
StartProfile,1
StopProfile,1
SuspendProcess,1
SuspendThread,2
SystemDebugControl,6
TerminateJobObject,2
TestAlert,0
TranslateFilePath,4
UnloadDriver,1
UnloadKey,1
UnloadKey2,2
UnloadKeyEx,2
UnlockFile,5
UnlockVirtualMemory,4
VdmControl,2
WaitForDebugEvent,4
WaitForKeyedEvent,4
WaitHighEventPair,1
WaitLowEventPair,1
